BAG ID,Lot #,Variant #,Volume(mL),Volume(mL),Notes
C7,4365,2,9.0 ,,
C7,4369,1,10.0 ,,
C7,4369,3,3.5 ,,
C7,4369,4,2.0 ,,
C7,4377,1,6.0 ,,
C7,4377,2,9.0 ,11.0 ,
C7,4391,1,17.0 ,,
C7,4391,2,22.0 ,,
C7,4402,1,13.0 ,,
C8,4358,1,3.0 ,,
C8,4394,1,5.5 ,,
C8,4396,1,8.0 ,,
C8,4396,2,7.0 ,,
C8,4404,1,2.0 ,,
C8,4263,3,15.0 ,,
C8,4410,1,15.0 ,,
C8,2525,2,2.5 ,,
C8,4357,1,12.5 ,,
C8,4357,2,8.5 ,,
C8,4425,1,4.0 ,,
C8,4431,1,4.5 ,,
C8,4431,2,9.5 ,,
C8,4273,8,5.5 ,,
C8,4273,9,3.0 ,,
C8,4456,1,2.5 ,,
C8,4487,1,11.0 ,,
C8,4487,2,4.0 ,,
C8,4487,3,12.0 ,,
C8,4487,4,3.0 ,,
C8,4487,5,6.0 ,,
C8,4487,6, ,,
C8,4412,1,8.5 ,,
C8,4456,3,1.5 ,,
C8,4489,1,2.0 ,,
C8,4489,2,3.5 ,,
C8,4456,2,4.5 ,,
C8,4499,1,25.0 ,,
C8,4459,1,7.5 ,,
C8,4496,1,27.0 ,,
C8,4496,3,17.0 ,,
C8,1477,1,7.0 ,,
C8,4529,4,6.0 ,,
C8,4529,7,12.0 ,,
C8,4472,1,12.0 ,,
C8,4338,4,7.0 ,,
C8,4338,7,6.5 ,,
C8,4177,7,2.5 ,2.0 ,
C8,4177,8,2.5 ,5.0 ,
C8,4177,12,4.0 ,,
C8,3622,82,9.0 ,,
C8,3622,105,5.5 ,,
C8,3622,112,2.0 ,,
C8,3622,117,12.0 ,,
C8,3622,131,5.0 ,,
C8,3622,149,7.0 ,,
C8,3622,156,13.0 ,,
C8,3622,185,10.0 ,,
C8,3496,1,10.0 ,,
C8,3496,2,10.5 ,,
C8,829,3,4.0 ,,
C8,829,7,4.5 ,,
C8,3622,152,2.0 ,,
C8,3622,196,9.0 ,,
C9,1445,1,8.0 ,,
C9,1445,2,3.5 ,,
C9,1586,1,8.0 ,,
C9,1586,2,4.0 ,,
C9,1606,23,10.0 ,,
C9,1637,1,5.0 ,,
C9,1963,1,3.5 ,,
C9,3380,360,5.5 ,,
C9,3380,361,5.0 ,,
C9,3380,383,5.5 ,,
C9,3380,384,7.0 ,,
C9,3380,385,7.0 ,,
C9,3380,386,3.5 ,,
C9,3380,374,2.0 ,,
C9,4448,4,3.0 ,,
C9,4448,5,3.5 ,,
C9,4448,7,2.0 ,,
C9,4497,1,4.5 ,,
C9,3689,2,8.5 ,,
C9,4340,3,4.5 ,,
C9,4522,2,11.0 ,,
C9,4522,4,4.0 ,,
C9,4534,1,14.0 ,,
C9,4535,2,7.0 ,,
C9,4579,1,4.0 ,,
C9,4608,8,6.0 ,,
C9,4608,9,9.0 ,,
C9,4608,10,11.0 ,,
C9,4608,11,10.5 ,,
C9,4608,12,4.5 ,,
C9,4608,13,7.0 ,,
C9,4413,2,10.0 ,,
C9,4413,3,11.5 ,,
C9,4632,1,5.0 ,,
C9,4640,2,14.5 ,,
C9,4595,2,10.5 ,,
C9,4647,1,4.0 ,,
C9,4647,2,9.0 ,,
C9,4647,3,7.5 ,,
C9,4647,4,15.0 ,,
C9,4662,1,2.0 ,,
C9,3900,2,11.5 ,,
C9,4513,1,7.0 ,,
C9,4622,1,13.0 ,,
C9,4622,2,2.5 ,,
C9,4622,3,13.0 ,,
C9,4513,2,6.0 ,,
C9,4589,1,1.5 ,,
C9,4512,2,8.0 ,,
C9,4647,7,12.5 ,,
C9,4585,1,2.0 ,,
C9,4647,5,2.0 ,,
C9,4662,2,13.5 ,,
C9,4647,6,11.0 ,,
C10,4594,1,7.0 ,,
C10,4644,2,3.0 ,,
C10,4594,2,3.0 ,,
C10,4583,1,4.5 ,,
C10,4614,2,5.5 ,11.0 ,
C10,4657,1,11.5 ,,
C10,4663,1,2.0 ,2.0 ,
C10,3010,6,11.5 ,,
C10,3449,1,3.0 ,,
C10,4525,9,6.0 ,,
C10,4525,10,6.5 ,,
C10,4653,1,6.0 ,,
C10,4656,4,8.0 ,6.0 ,(6mg is filtered)
C10,4656,5,3.0 ,,
C10,4656,6,13.5 ,,
C10,4656,7,15.0 ,,
C10,4678,5,12.5 ,,
C10,4678,4,3.0 ,,
C10,4678,3,2.0 ,,
C10,4682,1,7.0 ,9.0 ,
C10,4682,2,2.5 ,5.0 ,35.0 
C10,4682,36,4.0 ,,
C10,4698,1,9.0 ,,
C10,4698,2,15.0 ,,
C10,4711,1,11.0 ,,
C10,4711,2,6.0 ,,
C10,4714,1, ,,endo free
C10,4714,2,5.5 ,,endo free
C10,4714,3,5.5 ,,endo free
C10,4714,4,11.5 ,,endo free
C10,4715,1,12.5 ,,
C10,4715,2,11.0 ,,
C10,4715,3,10.5 ,,
C10,4720,11,7.5 ,,
C10,4678,2,11.0 ,,
C11,3884,1,3,,
C11,4025,13,5.0 ,,
C11,4025,14,4.5 ,,
C11,4025,17,10.0 ,,
C11,4025,18,7.0 ,,
C11,4363,1,7.0 ,,
C11,4363,2,3.0 ,,
C11,4367,13,2.0 ,8.0 ,
C11,4635,1,5.0 ,,
C11,4734,1,5.5 ,,ENDO FREE
C11,4734,2,4.5 ,,ENDO FREE
C11,4734,2,2.0 ,,reg
C11,4743,7,10.5 ,,
C11,4745,4,4.5 ,,
C11,4765,1,2.5 ,6.0 ,
C11,4766,1,7.0 ,,
C11,4766,2,10.5 ,,
C11,1533,5,7.0 ,,
C11,1533,6,2.5 ,,
C11,4367,6,8.0 ,,
C11,4367,4,7.0 ,,
C11,4380,1,2.5 ,,
C11,4380,5,8.5 ,,
C11,3024,1,2.0 ,9.0 ,
C11,4699,11,4.0 ,,
C11,4743,13,11.0 ,,
C11,4743,1,8.0 ,,
C11,4776,2,6.0 ,,
C11,4743,4,9.0 ,,
C11,4743,10,11.0 ,,
C12,4760,3,15.0 ,,
C12,4624,4,15.0 ,,
C12,4624,5,14.0 ,,
C12,4626,4,15.0 ,,
C12,4807,2,15.0 ,,
C12,4807,1,14.0 ,,
C12,4807,3,9.5 ,,
C12,4807,4,11.0 ,,
C12,4807,5,9.0 ,,
C12,4807,6,8.5 ,,
C12,4814,3,2.5 ,,
C12,4814,4,3.0 ,,
C12,4793,5,6.5 ,,
C12,4793,6,9.5 ,,
C12,4627,1,8.5 ,,
C12,4627,2,8.0 ,,
C12,4787,1,3.5 ,,
C12,4787,4,4.0 ,,
C12,4787,5,6.0 ,,
C12,4626,5,10.0 ,,
C12,4793,3,4.0 ,,
C12,4793,4,10.5 ,,
C12,4793,2,12.0 ,,
C13,1936,1,2.0 ,,
C13,2938,3,8.5 ,,
C13,4833,2,4.0 ,,
C13,4836,1,4.5 ,,
C13,4836,2,2.5 ,,
C13,875,2,6.0 ,,
C13,875,3,5.0 ,,
C13,4840,1,6.0 ,,
C13,4840,2,6.0 ,,
C13,4747,6,5.0 ,30.0 ,
C13,4853,2,3.0 ,,
C13,4850,1,6.5 ,,
C13,4850,2,7.0 ,,
C13,4850,4,7.5 ,,
C13,4850,5,8.0 ,,
C13,4850,6,2.0 ,,
C13,4850,7,6.0 ,,
C13,4850,8,6.0 ,,
C13,4853,1,10.0 ,,
C13,4853,3,11.0 ,,
C13,4842,1,12.0 ,,
C13,4837,1,3.0 ,,
C13,4837,4,7.0 ,,
C13,4837,6,3.5 ,,
C14,4867,6,3.5 ,,
C14,4870,1,7.5 ,,
C14,4855,1,3.0 ,,
C14,4855,2,4.5 ,,
C14,4855,3,3.0 ,,
C14,3774,3,7.0 ,,
C14,3774,10,3.0 ,,
C14,4426,3,4.0 ,,
C14,4426,10,4.0 ,,
C14,4866,1,5.5 ,,
C14,4880,1,12.5 ,,
C14,4723,12,3.5 ,,
C14,4903,1,4.5 ,,
C14,4903,3,5.0 ,,
C14,4903,4,6.0 ,,
C14,4903,5,7.5 ,,
C14,4903,7,6.0 ,,
C14,4903,9,2.5 ,,
C14,4147,2,6.5 ,,
C14,4147,4,6.5 ,,
C14,4180,7,4.0 ,,
C14,4457,2,10.0 ,,
C14,4457,3,10.0 ,,
C14,4457,4,10.0 ,8.0 ,
C14,4697,1,3.0 ,,
C14,4730,1,5.5 ,,
C14,4738,25,5.0 ,,
C14,4782,1,2.0 ,,
C14,4782,2,2.0 ,,
C14,4797,1,5.0 ,,
C14,2347,1,1.5 ,,
C14,2379,1,1.5 ,,
C14,4723,3,10.0 ,,
C14,4903,10,7.0 ,,
C14,4903,8,2.5 ,,
C15,4921,1,6.5 ,,
C15,4921,2,8.0 ,,
C15,4921,3,5.0 ,,
C15,4921,4,6.5 ,,
C15,4921,5,5.0 ,,
C15,4921,6,6.5 ,,
C15,4000,4,2.0 ,,
C15,4090,1,8.0 ,,
C15,4090,15,2.5 ,,
C15,4732,3,4.5 ,,
C15,4816,1,8.5 ,,
C15,4928,1,2.0 ,,
C15,4920,2,6.0 ,,
C15,4581,3,3.0 ,,
C15,4930,1,2.0 ,,
C15,4906,1,11.0 ,,
C15,4691,3,2.0 ,,
C15,4948,1,2.5 ,,
C15,4863,4,5.5 ,6.0 ,
C15,4865,1,9.5 , ,
C15,4719,5,7.5 ,3.0 ,
C15,4719,7,3.0 ,,
C15,4956,1,5.0 ,,
C15,4961,1,5.0 ,,
C15,4930,3,3.0 ,,
C15,4967,1,8.0 ,,
C15,4892,2,7.0 ,6.0 ,
C15,4989,1,3.0 ,,
C15,4950,1,3.5 ,,
C15,4978,2,3.0 ,,
C15,4430,6,2.0 ,12.0 ,
C16,5010,1,17.5 ,,
C16,4971,2,2.0 ,6.0 ,
C16,4971,3,4.5 ,,
C16,4971,4,2.0 ,,
C16,4971,5,4.0 ,,
C16,4980,1,7.0 ,,
C16,4964,1,8.0 ,,
C16,5030,1,7.0 ,,
C16,5037,1,6.0 ,,
C16,3714,26,1.5 ,,
C16,3714,27,7.0 ,,
C16,3714,28,8.5 ,,
C16,3714,29,6.0 ,,
C16,1456,7,6.0 ,,
C16,1456,8,4.5 ,,
C16,3744,3,4.5 ,,
C16,4813,17,3.5 ,,
C16,4813,31,15.0 ,,
C16,4860,1,4.5 ,,
C16,5078,1,8.5 ,,
C16,4526,1,4.0 ,,
C16,4526,2,11.0 ,,
C16,4526,3,9.0 ,,
C16,4544,5,3.5 ,,
C16,4544,6,6.0 ,,
C16,4912,2,3.0 ,,
C16,4914,1,10.5 ,,
C16,4932,1,7.0 ,,
C16,4966,1,8.0 ,,
C16,5062,3,7.0 ,7.0 ,(might be 1)
C16,5062,6,7.5 ,,
C16,5068,1,4.0 ,,
C17,5103,2,8.0 ,,
C17,5103,4,6.0 ,,
C17,5130,1,5.0 ,,
C17,5130,2,7.0 ,,
C17,5139,1,6.0 ,,
C17,5139,2,2.5 ,,
C17,5142,1,5.0 ,,
C17,5142,2,9.5 ,,
C17,5142,3,15.0 ,,
C17,5145,1,8.0 ,,
C17,5145,2,11.5 ,,
C17,5145,7,5.0 ,,
C17,5145,8,2.0 ,,
C17,5159,1,5.5 ,,
C17,5159,2,8.5 ,,
C17,5160,1,8.0 ,,
C17,5160,2,8.0 ,,
C17,5172,1,3.5 ,,
C17,0,furin,5.0 ,40.0 ,22.5 
C17,5172,13,9.0 ,,
C17,5175,1,9.0 ,,
C17,5205,1,8.0 ,12.0 ,
C17,5205,2,3.0 ,10.0 ,
C17,5206,1,12.0 ,,
C17,5206,2,8.0 ,,
C17,2498,3,3.0 ,,
C18,5182,1,27.0 ,,
C18,5182,4,1.5 ,,
C18,5182,6,13.0 ,,
C18,5182,7,22.0 ,,
C18,5207,3,16.0 ,,
C18,5207,4,12.0 ,,
C18,5207,5,12.5 ,,
C18,2064,1,8.0 ,,
C18,2689,1,9.0 ,,
C18,4598,3,11.0 ,,
C18,4784,1,16.0 ,,
C18,4784,7,17.0 ,,
C18,5231,1,18.0 ,,
C18,5231,2,20.0 ,,
C18,4668,1,10.0 ,,
C18,4668,3,6.0 ,,
C18,4668,4,7.0 ,,
C18,4668,13,8.0 ,,
C18,4668,24,8.0 ,,
C18,4668,26,6.0 ,,
C18,4668,27,5.5 ,,
C19,4164,1,4.0 ,,
C19,4790,8,6.5 ,,
C19,4919,4,7.0 ,,
C19,5036,33,15.0 ,,
C19,5036,38,3.0 ,,
C19,5036,52,6.0 ,,
C19,5065,15,13.0 ,,
C19,4774,1,3.5 ,,
C19,4774,2,5.5 ,,
C19,5121,6,2.5 ,,
C19,5121,16,8.0 ,,
C19,5166,4,6.0 ,,
C19,5193,1,4.0 ,,
C19,5224,2,2.0 ,,
C19,5230,1,10.0 ,,
C19,5230,2,11.0 ,,
C19,5230,3,6.0 ,,
C19,5257,8,3.0 ,,
C19,5282,1,9.0 ,,
C19,5282,2,2.0 ,,
C19,5210,3,13.0 ,,
C19,5282,3,4.0 ,,
C19,5317,1,6.0 ,,
C19,5317,2,13.0 ,,
C19,5319,1,4.5 ,,
C19,5319,2,2.5 ,,
C19,5319,3,4.0 ,,
C19,5319,4,8.5 ,,
C19,5319,6,2.0 ,,
C19,5319,8,6.5 ,,
C19,5319,9,1.5 ,,
C19,5324,1,12.5 ,,
C19,5324,2,8.5 ,,
C19,5332,2,8.0 ,,
C19,5332,3,5.0 ,,
C19,5332,4,12.0 ,,
C19,5332,5,8.0 ,,
C19,5332,6,7.5 ,,
C19,5332,7,2.5 ,,
C20,5346,2,7.5 ,,
C20,5368,9,15.0 ,,
C20,5368,11,8.0 ,,
C20,5368,12,6.0 ,,
C20,5368,16,10.0 ,,
C20,5368,17,9.0 ,,
C20,5368,18,11.0 ,,
C20,5378,1,7.0 ,,
C20,5381,1,10.0 ,,
C20,4773,1,6.0 ,,
C20,4988,1,2.0 ,,
C20,221,4,4.0 ,,
C20,0,furin,12.0 ,,
C20,3156,1,17.0 ,,
C20,5004,1,17.0 ,,
C20,5314,1,20.0 ,,
C20,5314,2,18.0 ,,
